Label (Grouping),Estimate,Year
Total:,"39,694,047",2010
"    Less than $10,000:","5,949,406",
        Less than 30.0 percent,"397,418",
        30.0 percent or more,"4,222,018",
        Not computed,"1,329,970",
"    $10,000 to $19,999:","7,357,646",
        Less than 30.0 percent,"917,394",
        30.0 percent or more,"5,987,176",
        Not computed,"453,076",
"    $20,000 to $34,999:","8,794,768",
        Less than 30.0 percent,"2,548,034",
        30.0 percent or more,"5,779,364",
        Not computed,"467,370",
"    $35,000 to $49,999:","6,113,560",
        Less than 30.0 percent,"3,657,758",
        30.0 percent or more,"2,162,643",
        Not computed,"293,159",
"    $50,000 to $74,999:","5,939,968",
        Less than 30.0 percent,"4,668,269",
        30.0 percent or more,"1,009,527",
        Not computed,"262,172",
"    $75,000 or more:","5,538,699",
        Less than 30.0 percent,"5,046,007",
        30.0 percent or more,"260,860",
        Not computed,"231,832",
Total:,"40,727,290",2011
"    Less than $10,000:","6,151,519",
        Less than 30.0 percent,"394,298",
        30.0 percent or more,"4,330,976",
        Not computed,"1,426,245",
"    $10,000 to $19,999:","7,488,864",
        Less than 30.0 percent,"916,931",
        30.0 percent or more,"6,111,108",
        Not computed,"460,825",
"    $20,000 to $34,999:","8,829,403",
        Less than 30.0 percent,"2,393,223",
        30.0 percent or more,"5,967,106",
        Not computed,"469,074",
"    $35,000 to $49,999:","6,116,700",
        Less than 30.0 percent,"3,556,735",
        30.0 percent or more,"2,274,093",
        Not computed,"285,872",
"    $50,000 to $74,999:","6,102,384",
        Less than 30.0 percent,"4,743,691",
        30.0 percent or more,"1,092,667",
        Not computed,"266,026",
"    $75,000 or more:","6,038,420",
        Less than 30.0 percent,"5,504,599",
        30.0 percent or more,"298,309",
        Not computed,"235,512",
Total:,"41,850,284",2012
"    Less than $10,000:","6,092,301",
        Less than 30.0 percent,"393,600",
        30.0 percent or more,"4,267,839",
        Not computed,"1,430,862",
"    $10,000 to $19,999:","7,444,395",
        Less than 30.0 percent,"921,081",
        30.0 percent or more,"6,079,211",
        Not computed,"444,103",
"    $20,000 to $34,999:","8,856,035",
        Less than 30.0 percent,"2,399,942",
        30.0 percent or more,"5,991,333",
        Not computed,"464,760",
"    $35,000 to $49,999:","6,329,425",
        Less than 30.0 percent,"3,694,801",
        30.0 percent or more,"2,333,229",
        Not computed,"301,395",
"    $50,000 to $74,999:","6,424,761",
        Less than 30.0 percent,"5,026,191",
        30.0 percent or more,"1,124,800",
        Not computed,"273,770",
"    $75,000 or more:","6,703,367",
        Less than 30.0 percent,"6,127,262",
        30.0 percent or more,"322,682",
        Not computed,"253,423",
Total:,"42,447,172",2013
"    Less than $10,000:","5,949,641",
        Less than 30.0 percent,"376,493",
        30.0 percent or more,"4,113,470",
        Not computed,"1,459,678",
"    $10,000 to $19,999:","7,243,264",
        Less than 30.0 percent,"881,515",
        30.0 percent or more,"5,929,437",
        Not computed,"432,312",
"    $20,000 to $34,999:","8,923,432",
