"Label (Grouping)","United States!!Estimate","United States!!Estimate Margin of Error","United States!!Percent","United States!!Percent Margin of Error"
"HOUSING OCCUPANCY","","","",""
"    Total housing units","131,791,065","±5,741","131,791,065","(X)"
"    Occupied housing units","114,567,419","±163,249","86.9%","±0.1"
"    Vacant housing units","17,223,646","±167,247","13.1%","±0.1"
"    Homeowner vacancy rate","2.5","±0.1","(X)","(X)"
"    Rental vacancy rate","8.2","±0.1","(X)","(X)"
"UNITS IN STRUCTURE","","","",""
"    Total housing units","131,791,065","±5,741","131,791,065","(X)"
"    1-unit, detached","80,965,705","±113,525","61.4%","±0.1"
"    1-unit, attached","7,661,929","±35,436","5.8%","±0.1"
"    2 units","5,049,247","±40,364","3.8%","±0.1"
"    3 or 4 units","5,847,804","±40,622","4.4%","±0.1"
"    5 to 9 units","6,338,380","±40,171","4.8%","±0.1"
"    10 to 19 units","5,930,810","±42,338","4.5%","±0.1"
"    20 or more units","11,250,236","±49,310","8.5%","±0.1"
"    Mobile home","8,636,728","±48,979","6.6%","±0.1"
"    Boat, RV, van, etc.","110,226","±4,873","0.1%","±0.1"
"YEAR STRUCTURE BUILT","","","",""
"    Total housing units","131,791,065","±5,741","131,791,065","(X)"
"    Built 2005 or later","8,007,633","±43,953","6.1%","±0.1"
"    Built 2000 to 2004","11,549,564","±52,989","8.8%","±0.1"
"    Built 1990 to 1999","18,302,121","±63,348","13.9%","±0.1"
"    Built 1980 to 1989","18,408,424","±73,236","14.0%","±0.1"
"    Built 1970 to 1979","21,105,659","±64,304","16.0%","±0.1"
"    Built 1960 to 1969","14,692,127","±54,436","11.1%","±0.1"
"    Built 1950 to 1959","14,428,826","±58,390","10.9%","±0.1"
"    Built 1940 to 1949","7,304,410","±40,393","5.5%","±0.1"
"    Built 1939 or earlier","17,992,301","±52,992","13.7%","±0.1"
"ROOMS","","","",""
"    Total housing units","131,791,065","±5,741","131,791,065","(X)"
"    1 room","2,594,175","±34,121","2.0%","±0.1"
"    2 rooms","3,145,176","±25,388","2.4%","±0.1"
"    3 rooms","12,001,395","±57,920","9.1%","±0.1"
"    4 rooms","22,075,538","±76,796","16.8%","±0.1"
"    5 rooms","26,947,335","±81,745","20.4%","±0.1"
"    6 rooms","24,047,015","±71,724","18.2%","±0.1"
"    7 rooms","16,203,906","±66,459","12.3%","±0.1"
"    8 rooms","11,212,692","±53,278","8.5%","±0.1"
"    9 rooms or more","13,563,833","±68,321","10.3%","±0.1"
"    Median rooms","5.5","±0.1","(X)","(X)"
"BEDROOMS","","","",""
"    Total housing units","131,791,065","±5,741","131,791,065","(X)"
"    No bedroom","2,875,938","±32,777","2.2%","±0.1"
"    1 bedroom","14,828,927","±55,896","11.3%","±0.1"
"    2 bedrooms","35,514,519","±83,601","26.9%","±0.1"
"    3 bedrooms","52,286,562","±94,144","39.7%","±0.1"
