"Label (Grouping)","United States!!Estimate","United States!!Margin of Error","United States!!Percent","United States!!Percent Margin of Error"
"HOUSING OCCUPANCY","","","",""
"    Total housing units","135,702,775","±3,052","135,702,775","(X)"
"        Occupied housing units","118,860,065","±154,606","87.6%","±0.1"
"        Vacant housing units","16,842,710","±156,129","12.4%","±0.1"
"    Homeowner vacancy rate","1.8","±0.1","(X)","(X)"
"    Rental vacancy rate","5.9","±0.1","(X)","(X)"
"UNITS IN STRUCTURE","","","",""
"    Total housing units","135,702,775","±3,052","135,702,775","(X)"
"        1-unit, detached","83,454,039","±111,343","61.5%","±0.1"
"        1-unit, attached","7,979,492","±40,014","5.9%","±0.1"
"        2 units","4,952,055","±32,807","3.6%","±0.1"
"        3 or 4 units","5,996,470","±35,906","4.4%","±0.1"
"        5 to 9 units","6,484,310","±46,151","4.8%","±0.1"
"        10 to 19 units","6,034,826","±39,049","4.4%","±0.1"
"        20 or more units","12,264,003","±49,179","9.0%","±0.1"
"        Mobile home","8,436,002","±48,551","6.2%","±0.1"
"        Boat, RV, van, etc.","101,578","±5,449","0.1%","±0.1"
"YEAR STRUCTURE BUILT","","","",""
"    Total housing units","135,702,775","±3,052","135,702,775","(X)"
"        Built 2014 or later","1,963,125","±26,273","1.4%","±0.1"
"        Built 2010 to 2013","3,752,105","±36,581","2.8%","±0.1"
"        Built 2000 to 2009","19,259,257","±70,321","14.2%","±0.1"
"        Built 1990 to 1999","18,796,349","±61,653","13.9%","±0.1"
"        Built 1980 to 1989","18,329,178","±66,225","13.5%","±0.1"
"        Built 1970 to 1979","20,788,826","±60,271","15.3%","±0.1"
"        Built 1960 to 1969","14,496,540","±51,043","10.7%","±0.1"
"        Built 1950 to 1959","14,142,755","±52,791","10.4%","±0.1"
"        Built 1940 to 1949","6,843,600","±39,958","5.0%","±0.1"
"        Built 1939 or earlier","17,331,040","±46,453","12.8%","±0.1"
"ROOMS","","","",""
"    Total housing units","135,702,775","±3,052","135,702,775","(X)"
