"Label (Grouping)","United States!!Total!!Estimate","United States!!Total!!Margin of Error","United States!!Median income (dollars)!!Estimate","United States!!Median income (dollars)!!Margin of Error"
"HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER","","","",""
"Households","115,969,540","±150,555","51,371","±53"
"One race--","","","",""
"    White","77.8%","±0.1","54,729","±82"
"    Black or African American","12.1%","±0.1","33,764","±203"
"    American Indian and Alaska Native","0.7%","±0.1","35,310","±600"
"    Asian","4.2%","±0.1","70,644","±347"
"    Native Hawaiian and Other Pacific Islander","0.1%","±0.1","51,322","±1,649"
"    Some other race","3.3%","±0.1","38,439","±424"
"Two or more races","1.8%","±0.1","44,930","±674"
"Hispanic or Latino origin (of any race)","12.1%","±0.1","40,417","±161"
"White alone, not Hispanic or Latino","69.8%","±0.1","56,565","±79"
"HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER","","","",""
"    15 to 24 years","4.0%","±0.1","24,476","±265"
"    25 to 44 years","33.3%","±0.1","55,821","±143"
"    45 to 64 years","39.8%","±0.1","62,049","±107"
"    65 years and over","22.9%","±0.1","36,743","±108"
"FAMILIES","","","",""
"    Families","76,509,262","±122,329","62,527","±123"
"        With own children under 18 years","43.9%","±0.1","59,537","±235"
"        With no own children under 18 years","56.1%","±0.1","65,120","±116"
"    Married-couple families","72.9%","±0.1","76,035","±121"
"    Female householder, no husband present","19.8%","±0.1","30,486","±118"
"    Male householder, no wife present","7.3%","±0.1","42,588","±342"
"NONFAMILY HOUSEHOLDS","","","",""
"    Nonfamily households","39,460,278","±82,851","31,231","±73"
"    Female householder","53.5%","±0.1","26,959","±87"
"        Living alone","45.4%","±0.1","24,222","±109"
"        Not living alone","8.0%","±0.1","52,433","±418"
"    Male householder","46.5%","±0.1","36,643","±128"
"        Living alone","36.3%","±0.1","31,895","±115"
"        Not living alone","10.2%","±0.1","57,869","±554"
"PERCENT IMPUTED","","","",""
"    Household income in the past 12 months","29.2%","(X)","(X)","(X)"
"    Family income in the past 12 months","29.7%","(X)","(X)","(X)"
"    Nonfamily income in the past 12 months","26.7%","(X)","(X)","(X)"
