"Label (Grouping)","United States!!Total!!Estimate","United States!!Total!!Margin of Error","United States!!Median income (dollars)!!Estimate","United States!!Median income (dollars)!!Margin of Error"
"HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER","","","",""
"Households","117,259,427","±146,938","53,657","±93"
"    One race--","","","",""
"        White","77.2%","±0.1","57,355","±94"
"        Black or African American","12.2%","±0.1","35,481","±167"
"        American Indian and Alaska Native","0.7%","±0.1","37,227","±789"
"        Asian","4.5%","±0.1","74,105","±683"
"        Native Hawaiian and Other Pacific Islander","0.1%","±0.1","52,815","±2,474"
"        Some other race","3.4%","±0.1","40,865","±303"
"    Two or more races","1.9%","±0.1","48,424","±715"
"Hispanic or Latino origin (of any race)","12.5%","±0.1","42,748","±237"
"White alone, not Hispanic or Latino","68.8%","±0.1","59,622","±116"
"HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER","","","",""
"    15 to 24 years","3.8%","±0.1","27,047","±230"
"    25 to 44 years","32.8%","±0.1","58,970","±223"
"    45 to 64 years","39.4%","±0.1","65,018","±147"
"    65 years and over","24.0%","±0.1","39,186","±107"
"FAMILIES","","","",""
"    Families","77,152,072","±126,112","65,910","±113"
"        With own children under 18 years","42.9%","±0.1","62,091","±156"
"        With no own children under 18 years","57.1%","±0.1","68,166","±136"
"        Married-couple families","72.7%","±0.1","80,036","±110"
"        Female householder, no husband present","19.8%","±0.1","32,087","±139"
"        Male householder, no wife present","7.5%","±0.1","45,426","±308"
"NONFAMILY HOUSEHOLDS","","","",""
"    Nonfamily households","40,107,355","±83,075","32,220","±67"
"        Female householder","53.3%","±0.1","28,209","±152"
"            Living alone","45.0%","±0.1","25,085","±102"
"            Not living alone","8.2%","±0.1","55,152","±456"
"        Male householder","46.7%","±0.1","38,020","±180"
"            Living alone","36.3%","±0.1","32,451","±105"
"            Not living alone","10.5%","±0.1","61,071","±332"
"PERCENT IMPUTED","","","",""
"    Household income in the past 12 months","31.3%","(X)","(X)","(X)"
"    Family income in the past 12 months","31.8%","(X)","(X)","(X)"
"    Nonfamily income in the past 12 months","28.6%","(X)","(X)","(X)"
