"Label (Grouping)","United States!!Number!!Estimate","United States!!Number!!Margin of Error","United States!!Percent Distribution!!Estimate","United States!!Percent Distribution!!Margin of Error","United States!!Median income (dollars)!!Estimate","United States!!Median income (dollars)!!Margin of Error"
"HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER","","","","","",""
"    Households","121,520,180","±153,217","121,520,180","±153,217","61,937","±94"
"        One race--","","","","","",""
"            White","92,352,948","±110,884","76.0%","±0.1","65,902","±120"
"            Black or African American","15,097,600","±47,216","12.4%","±0.1","41,511","±183"
"            American Indian and Alaska Native","903,145","±15,989","0.7%","±0.1","44,772","±1,038"
"            Asian","5,926,096","±25,879","4.9%","±0.1","87,243","±698"
"            Native Hawaiian and Other Pacific Islander","169,684","±6,020","0.1%","±0.1","61,911","±2,303"
"            Some other race","4,416,327","±34,696","3.6%","±0.1","48,983","±451"
"        Two or more races","2,654,380","±40,914","2.2%","±0.1","59,199","±894"
"        Hispanic or Latino origin (of any race)","16,351,859","±46,878","13.5%","±0.1","51,404","±182"
"        White alone, not Hispanic or Latino","81,414,881","±85,059","67.0%","±0.1","67,937","±151"
"HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER","","","","","",""
"    15 to 24 years","4,423,535","±40,847","3.6%","±0.1","33,389","±433"
"    25 to 44 years","39,170,027","±83,062","32.2%","±0.1","68,817","±239"
"    45 to 64 years","46,083,717","±67,931","37.9%","±0.1","75,289","±205"
"    65 years and over","31,842,901","±47,704","26.2%","±0.1","44,992","±158"
"FAMILIES","","","","","",""
"    Families","79,241,578","±137,610","79,241,578","±137,610","76,401","±153"
"        With own children of householder under 18 years","32,777,050","±78,353","41.4%","±0.1","74,167","±336"
"        With no own children of householder under 18 years","46,464,528","±105,890","58.6%","±0.1","77,696","±199"
"        Married-couple families","58,174,461","±165,541","73.4%","±0.1","91,348","±139"
"            With own children under 18 years","22,257,765","±82,986","28.1%","±0.1","100,115","±183"
"        Female householder, no husband present","15,061,738","±67,919","19.0%","±0.1","38,338","±236"
"            With own children under 18 years","7,778,779","±47,532","9.8%","±0.1","29,240","±233"
"        Male householder, no wife present","6,005,379","±39,486","7.6%","±0.1","53,149","±432"
"            With own children under 18 years","2,740,506","±31,175","3.5%","±0.1","45,793","±380"
"FAMILY INCOME BY FAMILY SIZE","","","","","",""
"    2-person families","37,303,940","±116,228","47.1%","±0.1","67,277","±179"
"    3-person families","17,409,259","±68,708","22.0%","±0.1","78,835","±431"
"    4-person families","14,179,989","±57,682","17.9%","±0.1","94,593","±492"
"    5-person families","6,438,619","±44,824","8.1%","±0.1","86,697","±601"
"    6-person families","2,433,067","±27,533","3.1%","±0.1","84,511","±1,046"
"    7-or-more person families","1,476,704","±20,389","1.9%","±0.1","85,999","±1,122"
"FAMILY INCOME BY NUMBER OF EARNERS","","","","","",""
"    No earners","11,798,475","±41,023","14.9%","±0.1","39,417","±251"
"    1 earner","25,446,326","±83,109","32.1%","±0.1","52,557","±228"
"    2 earners","32,826,819","±114,875","41.4%","±0.1","98,586","±242"
"    3 or more earners","9,169,958","±47,370","11.6%","±0.1","120,837","±405"
"NONFAMILY HOUSEHOLDS","","","","","",""
"    Nonfamily households","42,278,602","±83,510","42,278,602","±83,510","37,004","±96"
"        Female householder","22,420,968","±70,185","53.0%","±0.1","32,074","±124"
"            Living alone","18,752,797","±68,913","44.4%","±0.1","28,032","±169"
"            Not living alone","3,668,171","±31,004","8.7%","±0.1","64,851","±564"
"        Male householder","19,857,634","±54,272","47.0%","±0.1","42,859","±247"
"            Living alone","15,301,276","±52,778","36.2%","±0.1","36,763","±147"
"            Not living alone","4,556,358","±36,461","10.8%","±0.1","72,442","±495"
