"Label (Grouping)","United States!!Occupied housing units!!Estimate","United States!!Occupied housing units!!Margin of Error","United States!!Percent occupied housing units!!Estimate","United States!!Percent occupied housing units!!Margin of Error","United States!!Owner-occupied housing units!!Estimate","United States!!Owner-occupied housing units!!Margin of Error","United States!!Percent owner-occupied housing units!!Estimate","United States!!Percent owner-occupied housing units!!Margin of Error","United States!!Renter-occupied housing units!!Estimate","United States!!Renter-occupied housing units!!Margin of Error","United States!!Percent renter-occupied housing units!!Estimate","United States!!Percent renter-occupied housing units!!Margin of Error"
"Occupied housing units","129,870,928","±136,261","129,870,928","±136,261","84,649,084","±252,966","84,649,084","±252,966","45,221,844","±159,146","45,221,844","±159,146"
"    RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER","","","","","","","","","","","",""
"        One race --","","","","","","","","","","","",""
"            White","86,507,854","±118,987","66.6%","±0.1","62,504,868","±166,127","73.8%","±0.1","24,002,986","±91,875","53.1%","±0.1"
"            Black or African American","15,698,613","±43,847","12.1%","±0.1","6,922,814","±48,196","8.2%","±0.1","8,775,799","±59,302","19.4%","±0.1"
"            American Indian and Alaska Native","1,037,975","±13,304","0.8%","±0.1","571,538","±11,138","0.7%","±0.1","466,437","±10,571","1.0%","±0.1"
"            Asian","6,792,055","±29,176","5.2%","±0.1","4,297,522","±30,823","5.1%","±0.1","2,494,533","±24,798","5.5%","±0.1"
"            Native Hawaiian and Other Pacific Islander","198,120","±7,499","0.2%","±0.1","87,977","±4,574","0.1%","±0.1","110,143","±6,191","0.2%","±0.1"
"            Some other race","7,100,710","±44,082","5.5%","±0.1","3,339,482","±35,619","3.9%","±0.1","3,761,228","±39,183","8.3%","±0.1"
"        Two or more races","12,535,601","±69,877","9.7%","±0.1","6,924,883","±60,920","8.2%","±0.1","5,610,718","±46,535","12.4%","±0.1"
"        Hispanic or Latino origin","18,824,389","±49,361","14.5%","±0.1","9,609,931","±59,788","11.4%","±0.1","9,214,458","±55,364","20.4%","±0.1"
"        White alone, not Hispanic or Latino","83,085,478","±102,926","64.0%","±0.1","60,632,443","±149,452","71.6%","±0.1","22,453,035","±90,579","49.7%","±0.1"
"    AGE OF HOUSEHOLDER","","","","","","","","","","","",""
"        Under 35 years","25,290,195","±78,983","19.5%","±0.1","9,248,112","±83,000","10.9%","±0.1","16,042,083","±65,928","35.5%","±0.1"
"        35 to 44 years","22,819,278","±51,481","17.6%","±0.1","13,953,744","±58,169","16.5%","±0.1","8,865,534","±60,089","19.6%","±0.1"
"        45 to 54 years","22,102,505","±47,735","17.0%","±0.1","15,450,457","±67,832","18.3%","±0.1","6,652,048","±51,384","14.7%","±0.1"
"        55 to 64 years","24,180,302","±40,080","18.6%","±0.1","18,198,247","±52,976","21.5%","±0.1","5,982,055","±45,194","13.2%","±0.1"
"        65 to 74 years","20,536,818","±50,918","15.8%","±0.1","16,246,323","±58,360","19.2%","±0.1","4,290,495","±33,654","9.5%","±0.1"
"        75 to 84 years","11,107,795","±38,991","8.6%","±0.1","8,811,391","±36,801","10.4%","±0.1","2,296,404","±23,643","5.1%","±0.1"
"        85 years and over","3,834,035","±27,253","3.0%","±0.1","2,740,810","±22,802","3.2%","±0.1","1,093,225","±19,102","2.4%","±0.1"
"    EDUCATIONAL ATTAINMENT OF HOUSEHOLDER","","","","","","","","","","","",""
"        Less than high school graduate","11,100,227","±78,894","8.5%","±0.1","5,533,671","±47,231","6.5%","±0.1","5,566,556","±57,082","12.3%","±0.1"
"        High school graduate (includes equivalency)","30,370,971","±99,499","23.4%","±0.1","18,514,991","±75,409","21.9%","±0.1","11,855,980","±98,035","26.2%","±0.2"
"        Some college or associate's degree","38,588,915","±94,080","29.7%","±0.1","24,680,282","±99,250","29.2%","±0.1","13,908,633","±76,712","30.8%","±0.1"
"        Bachelor's degree or higher","49,810,815","±205,623","38.4%","±0.1","35,920,140","±184,112","42.4%","±0.1","13,890,675","±74,966","30.7%","±0.2"
"    YEAR HOUSEHOLDER MOVED INTO UNIT","","","","","","","","","","","",""
"        Moved in 2021 or later","23,304,019","±83,910","17.9%","±0.1","8,331,978","±59,648","9.8%","±0.1","14,972,041","±91,363","33.1%","±0.2"
"        Moved in 2018 to 2020","29,447,272","±82,905","22.7%","±0.1","14,848,102","±75,696","17.5%","±0.1","14,599,170","±76,646","32.3%","±0.1"
"        Moved in 2010 to 2017","31,773,232","±78,345","24.5%","±0.1","21,337,974","±87,166","25.2%","±0.1","10,435,258","±72,538","23.1%","±0.1"
"        Moved in 2000 to 2009","20,894,778","±76,101","16.1%","±0.1","17,616,669","±69,902","20.8%","±0.1","3,278,109","±34,144","7.2%","±0.1"
"        Moved in 1990 to 1999","12,194,902","±62,046","9.4%","±0.1","11,085,045","±59,403","13.1%","±0.1","1,109,857","±20,152","2.5%","±0.1"
"        Moved in 1989 or earlier","12,256,725","±61,707","9.4%","±0.1","11,429,316","±56,693","13.5%","±0.1","827,409","±17,185","1.8%","±0.1"
