"Label (Grouping)","United States!!Occupied housing units!!Estimate","United States!!Occupied housing units!!Margin of Error","United States!!Owner-occupied housing units!!Estimate","United States!!Owner-occupied housing units!!Margin of Error","United States!!Renter-occupied housing units!!Estimate","United States!!Renter-occupied housing units!!Margin of Error"
"Occupied housing units","118,208,250","±155,130","74,506,512","±228,238","43,701,738","±113,291"
"HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2015 INFLATION-ADJUSTED DOLLARS)","","","","","",""
"    Less than $5,000","3.3%","±0.1","1.8%","±0.1","5.9%","±0.1"
"    $5,000 to $9,999","3.5%","±0.1","1.7%","±0.1","6.7%","±0.1"
"    $10,000 to $14,999","5.0%","±0.1","3.0%","±0.1","8.3%","±0.1"
"    $15,000 to $19,999","5.0%","±0.1","3.5%","±0.1","7.6%","±0.1"
"    $20,000 to $24,999","5.2%","±0.1","3.9%","±0.1","7.5%","±0.1"
"    $25,000 to $34,999","9.8%","±0.1","8.0%","±0.1","12.9%","±0.1"
"    $35,000 to $49,999","13.2%","±0.1","12.1%","±0.1","15.1%","±0.1"
"    $50,000 to $74,999","17.8%","±0.1","18.6%","±0.1","16.5%","±0.1"
"    $75,000 to $99,999","12.2%","±0.1","14.4%","±0.1","8.6%","±0.1"
"    $100,000 to $149,999","13.6%","±0.1","17.4%","±0.1","7.0%","±0.1"
"    $150,000 or more","11.3%","±0.1","15.6%","±0.1","4.0%","±0.1"
"    Median household income (dollars)","55,775","±85","71,027","±102","35,863","±88"
"MONTHLY HOUSING COSTS","","","","","",""
"    Less than $300","6.4%","±0.1","7.8%","±0.1","4.1%","±0.1"
"    $300 to $499","10.8%","±0.1","13.5%","±0.1","6.3%","±0.1"
"    $500 to $799","18.6%","±0.1","16.1%","±0.1","22.7%","±0.1"
"    $800 to $999","12.7%","±0.1","9.8%","±0.1","17.8%","±0.1"
"    $1,000 to $1,499","23.0%","±0.1","20.9%","±0.1","26.5%","±0.1"
"    $1,500 to $1,999","12.3%","±0.1","13.4%","±0.1","10.5%","±0.1"
"    $2,000 to $2,499","6.3%","±0.1","7.7%","±0.1","3.9%","±0.1"
"    $2,500 to $2,999","3.4%","±0.1","4.4%","±0.1","1.6%","±0.1"
"    $3,000 or more","4.5%","±0.1","6.3%","±0.1","1.5%","±0.1"
"    No cash rent","1.9%","±0.1","(X)","(X)","5.2%","±0.1"
"    Median (dollars)","1,009","±2","1,062","±2","959","±2"
"MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS","","","","","",""
"    Less than $20,000","14.7%","±0.1","9.1%","±0.1","24.1%","±0.1"
"        Less than 20 percent","0.9%","±0.1","1.1%","±0.1","0.6%","±0.1"
"        20 to 29 percent","1.6%","±0.1","1.3%","±0.1","2.1%","±0.1"
"        30 percent or more","12.2%","±0.1","6.7%","±0.1","21.4%","±0.1"
"    $20,000 to $34,999","14.6%","±0.1","11.9%","±0.1","19.3%","±0.1"
"        Less than 20 percent","2.9%","±0.1","3.9%","±0.1","1.1%","±0.1"
"        20 to 29 percent","2.9%","±0.1","2.4%","±0.1","3.7%","±0.1"
"        30 percent or more","8.9%","±0.1","5.6%","±0.1","14.6%","±0.1"
"    $35,000 to $49,999","13.0%","±0.1","12.1%","±0.1","14.4%","±0.1"
"        Less than 20 percent","4.2%","±0.1","5.2%","±0.1","2.4%","±0.1"
"        20 to 29 percent","3.9%","±0.1","2.8%","±0.1","5.8%","±0.1"
"        30 percent or more","4.9%","±0.1","4.1%","±0.1","6.3%","±0.1"
"    $50,000 to $74,999","17.6%","±0.1","18.6%","±0.1","15.8%","±0.1"
"        Less than 20 percent","8.3%","±0.1","9.6%","±0.1","6.0%","±0.1"
"        20 to 29 percent","5.6%","±0.1","5.1%","±0.1","6.4%","±0.1"
"        30 percent or more","3.7%","±0.1","3.9%","±0.1","3.4%","±0.1"
"    $75,000 or more","36.8%","±0.1","47.4%","±0.1","18.8%","±0.1"
"        Less than 20 percent","26.6%","±0.1","34.5%","±0.1","13.2%","±0.1"
"        20 to 29 percent","7.7%","±0.1","9.5%","±0.1","4.5%","±0.1"
"        30 percent or more","2.5%","±0.1","3.4%","±0.1","1.1%","±0.1"
"    Zero or negative income","1.4%","±0.1","0.9%","±0.1","2.3%","±0.1"
"    No cash rent","1.9%","±0.1","(X)","(X)","5.2%","±0.1"
